Site,Type,Count,Begin,End,Chronology
Jose Solas Ruin,"Early Middle Gila Red-on-brown variant, Undifferentiated",2,700,1150,0
Jose Solas Ruin,Gila Butte Red-on-buff,1,750,850,1
Jose Solas Ruin,Gila Butte/Santa Cruz Red-on-buff,1,750,1000,1
Jose Solas Ruin,Gila Butte/Santa Cruz/Sacaton Red-on-buff,24,750,1150,1
Jose Solas Ruin,Gila Polychrome,4,1325,1450,1
Jose Solas Ruin,"Indented Corrugated Brown Ware, Undifferentiated",20,1000,1450,0
Jose Solas Ruin,"Maverick Mountain type, Undifferentiated",1,1275,1450,1
Jose Solas Ruin,"Obliterated Corrugated Brown Ware, Undifferentiated",1,1100,1450,0
Jose Solas Ruin,Pinto Black-on-red,3,1275,1300,1
Jose Solas Ruin,Pinto/Gila Polychrome,11,1300,1450,1
Jose Solas Ruin,"Plain Brown Ware, Undifferentiated",1599,400,1450,0
Jose Solas Ruin,"Plain Corrugated Brown Ware, Undifferentiated",6,1000,1450,0
Jose Solas Ruin,"Red Ware type, Undifferentiated",64,700,1700,0
Jose Solas Ruin,"Red-on-brown, Undifferentiated",60,700,1450,0
Jose Solas Ruin,Rincon/Tanque Verde Red-on-brown,2,950,1350,1
Jose Solas Ruin,"Roosevelt Polychrome, Undifferentiated",119,1280,1450,1
Jose Solas Ruin,Sacaton Red-on-buff,1,950,1150,1
Jose Solas Ruin,San Carlos Red-on-brown,1,1250,1450,1
Jose Solas Ruin,"San Simon Red-on-brown, Undifferentiated",1,650,1200,0
Jose Solas Ruin,Sweetwater/Snaketown Red-on-gray,1,300,800,1
Jose Solas Ruin,Tanque Verde Red-on-brown,3,1150,1350,1
Jose Solas Ruin,"Tucson Basin Brown Ware, Undifferentiated",5,700,1350,0
Jose Solas Ruin,"Type, Undifferentiated",7,200,1900,0
Piper Springs,Aravaipa Red,7,1200,1400,0
Piper Springs,Cliff Polychrome,5,1350,1450,1
Piper Springs,Gila Butte/Santa Cruz/Sacaton Red-on-buff,1,750,1150,1
Piper Springs,Gila Polychrome,7,1325,1450,1
Piper Springs,"Maverick Mountain type, Undifferentiated",1,1275,1450,1
Piper Springs,Pinto/Gila Polychrome,10,1300,1450,1
Piper Springs,Pinto-Gila Polychrome A,1,1300,1350,1
Piper Springs,"Plain Brown Ware, Undifferentiated",277,400,1450,0
Piper Springs,"Red Ware type, Undifferentiated",5,700,1700,0
Piper Springs,"Roosevelt Polychrome, Undifferentiated",54,1280,1450,1
Piper Springs,San Carlos Red-on-brown,2,1250,1450,1
Piper Springs,Tonto Polychrome,1,1350,1450,1
Roach Wash,Aravaipa Red,12,1200,1400,0
Roach Wash,Cliff Polychrome,1,1350,1450,1
Roach Wash,Gila Butte/Santa Cruz/Sacaton Red-on-buff,1,750,1150,1
Roach Wash,Gila Polychrome,1,1325,1450,1
Roach Wash,"Indented Corrugated Brown Ware, Undifferentiated",1,1000,1450,0
Roach Wash,Maverick Mountain Black-on-red,1,1275,1325,1
Roach Wash,"Maverick Mountain type, Undifferentiated",2,1275,1450,1
Roach Wash,Pinto/Gila Polychrome,2,1300,1450,1
Roach Wash,Pinto-Gila Polychrome A,1,1300,1350,1
Roach Wash,"Plain Brown Ware, Undifferentiated",216,400,1450,0
Roach Wash,"Red Ware type, Undifferentiated",11,700,1700,0
Roach Wash,"Red-on-brown, Undifferentiated",2,700,1450,0
Roach Wash,"Roosevelt Polychrome, Undifferentiated",18,1280,1450,1
Roach Wash,San Carlos Red,1,1200,1400,0
Roach Wash,San Carlos Red-on-brown,2,1250,1450,1
Roach Wash,Tanque Verde Red-on-brown,2,1150,1350,1
Roach Wash,"Type, Undifferentiated",1,200,1900,0
Wright,Aravaipa Red,76,1200,1400,0
Wright,"Brown Corrugated Ware, Undifferentiated",15,800,1450,0
Wright,"Cibola PII/PIII White Ware, Type Undifferentiated",1,1000,1300,0
Wright,"Cibola White Ware, Undifferentiated",5,550,1325,0
Wright,"Clapboard Corrugated Brown Ware, Undifferentiated",1,1000,1450,0
Wright,Cliff Polychrome,9,1350,1450,1
Wright,Gila Butte/Santa Cruz/Sacaton Red-on-buff,1,750,1150,1
Wright,Gila Polychrome,15,1325,1450,1
Wright,"Indented Corrugated Brown Ware, Undifferentiated",3,1000,1450,0
Wright,Maverick Mountain Black-on-red,1,1275,1325,1
Wright,"Obliterated Corrugated Brown Ware, Undifferentiated",3,1100,1450,0
Wright,Pinto/Gila Polychrome,38,1300,1450,1
Wright,Pinto-Gila Polychrome A,2,1300,1350,1
Wright,"Plain Brown Ware, Undifferentiated",1154,400,1450,0
Wright,"Plain Corrugated Brown Ware, Undifferentiated",5,1000,1450,0
Wright,"Red Ware type, Undifferentiated",32,700,1700,0
Wright,"Red-on-brown, Undifferentiated",2,700,1450,0
Wright,"Roosevelt Polychrome, Undifferentiated",342,1280,1450,1
Wright,San Carlos Red,76,1200,1400,0
Wright,San Carlos Red-on-brown,39,1250,1450,1
Wright,Tanque Verde Red-on-brown,4,1150,1350,1
Wright,Tonto Polychrome,4,1350,1450,1
Wright,"Tucson Basin Brown Ware, Undifferentiated",2,700,1350,0
Wright,"White Mountain type, Type Undifferentiated; Early",1,1000,1300,0
